player_id,player_name,position,team,games,fantasy_points,fantasy_points_ppr,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,completions,attempts,passing_yards,passing_tds,interceptions,snap_pct
00-0036133,James Proche,WR,CLE,2,2.1,5.1,0,0.0,0,3,3,21.0,0,0,0,0.0,0,0.0,0.026666666666666665
00-0036139,Rico Dowdle,RB,DAL,16,158.8,197.8,235,1079.0,2,49,39,249.0,3,0,0,0.0,0,0.0,0.575
00-0036158,J.K. Dobbins,RB,LAC,13,159.8,191.8,195,905.0,9,38,32,153.0,0,0,0,0.0,0,0.0,0.6321428571428571
00-0036165,Isaiah Hodgins,WR,NYG,2,1.2000000000000002,3.2,0,0.0,0,2,2,12.0,0,0,0,0.0,0,0.0,0.2833333333333333
00-0036176,Mason Kinsey,WR,TEN,2,1.7000000000000002,3.7,0,0.0,0,2,2,17.0,0,0,0,0.0,0,0.0,
00-0036182,Nick Westbrook-Ikhine,WR,TEN,13,103.7,135.7,0,0.0,0,60,32,497.0,9,0,0,0.0,0,0.0,0.6994117647058824
00-0036183,Kristian Wilkerson,WR,LV,1,7.8,9.8,0,0.0,0,3,2,18.0,1,0,0,0.0,0,0.0,0.22
00-0036187,Reggie Gilliam,RB,BUF,2,0.7000000000000001,0.7000000000000001,3,7.0,0,0,0,0.0,0,0,0,0.0,0,0.0,
00-0036196,Gabe Davis,WR,JAX,9,33.9,53.9,0,0.0,0,42,20,239.0,2,0,0,0.0,0,0.0,0.716
00-0036212,Tua Tagovailoa,QB,MIA,11,181.58,181.58,17,49.0,0,0,0,0.0,0,291,399,2867.0,19,7.0,0.9718181818181818
00-0036223,Jonathan Taylor,RB,IND,14,228.70000000000002,246.70000000000002,303,1431.0,11,31,18,136.0,1,0,0,0.0,0,0.0,0.8028571428571428
00-0036232,Harrison Bryant,TE,LV,5,8.600000000000001,17.6,0,0.0,0,12,9,86.0,0,0,0,0.0,0,0.0,0.25461538461538463
00-0036244,Colby Parkinson,TE,LA,15,35.4,65.4,0,0.0,0,49,30,294.0,1,0,0,0.0,0,0.0,0.5268421052631579
00-0036251,Zack Moss,RB,CIN,8,58.900000000000006,81.9,74,242.0,2,27,23,187.0,1,0,0,0.0,0,0.0,0.6175
00-0036252,Michael Pittman,WR,IND,16,96.80000000000001,165.8,0,0.0,0,111,69,808.0,3,0,0,0.0,0,0.0,0.880625
00-0036254,Collin Johnson,WR,CHI,2,0.6000000000000001,1.6,0,0.0,0,2,1,6.0,0,0,0,0.0,0,0.0,0.05444444444444444
00-0036259,Jauan Jennings,WR,SF,15,133.5,210.5,0,0.0,0,113,77,975.0,6,0,0,0.0,0,0.0,0.744
00-0036261,Brandon Aiyuk,WR,SF,7,37.400000000000006,62.400000000000006,0,0.0,0,47,25,374.0,0,0,0,0.0,0,0.0,0.7614285714285715
00-0036264,Jordan Love,QB,GB,15,233.86,233.86,25,83.0,1,0,0,0.0,0,268,425,3389.0,25,11.0,0.9225
00-0036268,Laviska Shenault Jr.,WR,LAC,6,9.7,14.7,1,1.0,0,5,5,36.0,0,0,0,0.0,0,0.0,0.06916666666666667
00-0036275,D'Andre Swift,RB,CHI,17,172.5,214.5,253,959.0,6,52,42,386.0,0,0,0,0.0,0,0.0,0.668235294117647
00-0036290,Cole Kmet,TE,CHI,14,73.4,120.4,0,0.0,0,55,47,474.0,4,0,0,0.0,0,0.0,0.8723529411764706
00-0036297,Darrynton Evans,RB,CHI,1,0.30000000000000004,0.30000000000000004,3,3.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.016
00-0036309,Darnell Mooney,WR,ATL,16,129.20000000000002,193.20000000000002,0,0.0,0,106,64,992.0,5,0,1,0.0,0,0.0,0.9275
00-0036322,Justin Jefferson,WR,MIN,17,214.48000000000002,317.48,1,3.0,0,154,103,1533.0,10,1,1,22.0,0,0.0,0.931111111111111
00-0036328,Antonio Gibson,RB,NE,17,80.4,103.4,120,538.0,1,29,23,206.0,0,0,0,0.0,0,0.0,0.33294117647058824
00-0036331,Devin Duvernay,WR,JAX,10,8.200000000000001,19.200000000000003,4,3.0,0,16,11,79.0,0,0,0,0.0,0,0.0,0.22153846153846152
00-0036332,Josiah Deguara,TE,JAX,3,1.4000000000000001,4.4,0,0.0,0,3,3,14.0,0,0,0,0.0,0,0.0,0.08666666666666667
