player_id,player_name,red_zone_touches,goal_line_touches,total_touches,red_zone_share,goal_line_share
00-0036945,J.Fields,17.0,7.0,62.0,0.27419354838709675,0.11290322580645161
00-0036328,A.Gibson,17.0,3.0,149.0,0.11409395973154363,0.020134228187919462
00-0038797,Em.Wilson,17.0,5.0,123.0,0.13821138211382114,0.04065040650406504
00-0033955,J.McNichols,17.0,4.0,73.0,0.2328767123287671,0.0547945205479452
00-0036414,C.Akers,17.0,5.0,127.0,0.13385826771653545,0.03937007874015748
00-0030279,K.Allen,17.0,5.0,123.0,0.13821138211382114,0.04065040650406504
00-0036407,J.Jeudy,17.0,4.0,148.0,0.11486486486486487,0.02702702702702703
00-0036984,T.Sermon,17.0,7.0,75.0,0.22666666666666666,0.09333333333333334
00-0039919,R.Odunze,17.0,3.0,104.0,0.16346153846153846,0.028846153846153848
00-0033045,E.Elliott,16.0,5.0,89.0,0.1797752808988764,0.056179775280898875
00-0039338,B.Bowers,16.0,5.0,158.0,0.10126582278481013,0.03164556962025317
00-0033885,D.Njoku,16.0,7.0,99.0,0.16161616161616163,0.0707070707070707
00-0037247,G.Pickens,16.0,5.0,110.0,0.14545454545454545,0.045454545454545456
00-0033873,P.Mahomes,16.0,2.0,81.0,0.19753086419753085,0.024691358024691357
00-0038543,J.Smith-Njigba,16.0,6.0,143.0,0.11188811188811189,0.04195804195804196
00-0031408,M.Evans,16.0,8.0,117.0,0.13675213675213677,0.06837606837606838
00-0034960,J.Meyers,16.0,4.0,132.0,0.12121212121212122,0.030303030303030304
00-0034975,J.Hill,16.0,2.0,116.0,0.13793103448275862,0.017241379310344827
00-0038129,C.Otton,16.0,6.0,90.0,0.17777777777777778,0.06666666666666667
00-0039021,R.Johnson,16.0,9.0,75.0,0.21333333333333335,0.12
00-0036259,J.Jennings,15.0,4.0,113.0,0.13274336283185842,0.035398230088495575
00-0036554,N.Collins,15.0,7.0,115.0,0.13043478260869565,0.06086956521739131
00-0036613,J.Waddle,15.0,3.0,89.0,0.16853932584269662,0.033707865168539325
00-0039146,J.Reed,15.0,4.0,100.0,0.15,0.04
00-0037834,B.Purdy,15.0,6.0,66.0,0.22727272727272727,0.09090909090909091
00-0035710,D.Jones,15.0,7.0,68.0,0.22058823529411764,0.10294117647058823
00-0032775,D.Robinson,15.0,9.0,75.0,0.2,0.12
00-0039032,T.Spears,15.0,4.0,119.0,0.12605042016806722,0.03361344537815126
00-0035228,K.Murray,15.0,3.0,80.0,0.1875,0.0375
00-0037197,I.Pacheco,15.0,5.0,117.0,0.1282051282051282,0.042735042735042736
00-0036912,D.Smith,15.0,3.0,108.0,0.1388888888888889,0.027777777777777776
00-0036894,P.Freiermuth,14.0,1.0,82.0,0.17073170731707318,0.012195121951219513
00-0035676,A.Brown,14.0,3.0,120.0,0.11666666666666667,0.025
00-0030564,D.Hopkins,14.0,7.0,89.0,0.15730337078651685,0.07865168539325842
00-0039363,I.Guerendo,14.0,5.0,100.0,0.14,0.05
00-0033925,D.Foreman,14.0,6.0,79.0,0.17721518987341772,0.0759493670886076
00-0039849,M.Harrison,14.0,2.0,116.0,0.1206896551724138,0.017241379310344827
00-0035973,P.Taylor,14.0,4.0,51.0,0.27450980392156865,0.0784313725490196
00-0037838,I.Likely,14.0,3.0,68.0,0.20588235294117646,0.04411764705882353
00-0038393,D.Wicks,14.0,4.0,82.0,0.17073170731707318,0.04878048780487805
00-0039901,K.Coleman,14.0,5.0,68.0,0.20588235294117646,0.07352941176470588
00-0038997,J.Downs,14.0,2.0,108.0,0.12962962962962962,0.018518518518518517
00-0036252,M.Pittman,14.0,2.0,112.0,0.125,0.017857142857142856
00-0039342,X.Legette,13.0,3.0,91.0,0.14285714285714285,0.03296703296703297
00-0036970,K.Pitts,13.0,1.0,74.0,0.17567567567567569,0.013513513513513514
00-0033908,C.Kupp,13.0,2.0,110.0,0.11818181818181818,0.01818181818181818
00-0037617,H.Haskins,13.0,8.0,39.0,0.3333333333333333,0.20512820512820512
00-0037666,J.Tolbert,13.0,4.0,79.0,0.16455696202531644,0.05063291139240506
00-0037240,J.Williams,13.0,4.0,107.0,0.12149532710280374,0.037383177570093455
00-0038544,Q.Johnston,12.0,2.0,99.0,0.12121212121212122,0.020202020202020204
00-0036290,C.Kmet,12.0,6.0,59.0,0.2033898305084746,0.1016949152542373
00-0035216,Di.Johnson,12.0,5.0,70.0,0.17142857142857143,0.07142857142857142
00-0033589,D.Moore,12.0,3.0,58.0,0.20689655172413793,0.05172413793103448
00-0033948,Ja.Williams,12.0,2.0,60.0,0.2,0.03333333333333333
00-0039794,B.Allen,12.0,2.0,119.0,0.10084033613445378,0.01680672268907563
00-0037816,R.Doubs,12.0,2.0,75.0,0.16,0.02666666666666667
00-0038685,C.Brooks,12.0,1.0,52.0,0.23076923076923078,0.019230769230769232
00-0039325,C.Steele,12.0,4.0,67.0,0.1791044776119403,0.05970149253731343
00-0034521,A.Lazard,12.0,2.0,60.0,0.2,0.03333333333333333
00-0033106,J.Goff,11.0,2.0,37.0,0.2972972972972973,0.05405405405405406
