player_name,team,position,pos_rank_label,ecr_rank,adp,rank_min,rank_max,rank_std,bye_week,owned_avg_pct
Fernando Mendoza,LV,QB,QB30,246,259.14,175,368,37.74,13,25.9
Chicago Bears,CHI,DEF,DST21,319,259.38,171,355,50.58,10,13.3
Elijah Sarratt,BAL,WR,WR96,265,259.66,197,350,28.41,13,8.4
Devaughn Vele,NO,WR,WR94,260,260.19,168,344,34.02,8,6.5
Trey Benson,ARI,RB,RB80,278,261.78,148,358,38.71,14,6.1
Jordan James,SF,RB,RB74,263,262.44,177,400,35.37,8,6.6
Xavier Legette,CAR,WR,WR98,272,263.07,195,367,34.05,5,2.6
Cincinnati Bengals,CIN,DEF,DST26,370,263.46,190,356,58.67,6,3.0
Colby Parkinson,LAR,TE,TE32,256,263.93,209,352,21.11,11,11.5
LeQuint Allen Jr.,JAC,RB,RB75,264,264.27,157,327,29.76,7,2.9
Brandon Aiyuk,SF,WR,WR105,301,265.0,136,378,48.14,8,12.5
Marvin Mims Jr.,DEN,WR,WR101,277,265.33,210,371,27.85,10,6.5
Tyquan Thornton,KC,WR,WR99,273,265.55,166,346,32.49,5,3.6
New Orleans Saints,NO,DEF,DST18,290,265.6,172,356,39.61,8,18.2
Chris Brooks,GB,RB,RB76,266,266.6,182,320,31.19,11,2.8
DJ Giddens,IND,RB,RB79,276,266.78,182,327,25.88,13,1.7
Wil Lutz,DEN,K,K16,268,266.94,182,333,30.37,10,8.1
Samaje Perine,CIN,RB,RB78,270,267.29,157,413,42.33,6,4.1
Darius Slayton,NYG,WR,WR100,274,267.47,205,374,29.52,8,2.8
Trey Smack,GB,K,K22,384,267.6,212,372,53.25,11,5.4
Isaiah Williams,NYJ,WR,WR148,436,268.0,247,293,18.99,13,0.6
Tampa Bay Buccaneers,TB,DEF,DST25,362,268.41,186,364,55.56,10,15.1
Tua Tagovailoa,ATL,QB,QB31,258,268.65,139,346,34.90,11,13.1
Jake Moody,FA,K,K30,418,268.8,216,347,44.32,,1.5
Atlanta Falcons,ATL,DEF,DST19,291,269.77,167,356,41.13,11,10.1
New York Giants,NYG,DEF,DST24,352,270.7,183,386,59.82,8,17.9
Nick Folk,ATL,K,K23,388,270.8,199,365,50.10,11,3.4
Mason Taylor,NYJ,TE,TE33,271,271.01,196,353,30.02,13,6.3
Najee Harris,NYG,RB,RB83,289,271.52,160,343,43.11,8,7.1
Darren Waller,CAR,TE,TE40,322,272.35,181,361,42.30,5,5.4
Devin Neal,NO,RB,RB81,284,272.59,169,365,39.37,8,3.8
Spencer Shrader,IND,K,K32,427,274.25,211,346,48.66,13,1.2
Tyreek Hill,FA,WR,WR110,314,275.26,163,350,41.98,,16.4
Indianapolis Colts,IND,DEF,DST20,310,275.79,170,356,43.56,13,15.9
Mike Gesicki,CIN,TE,TE37,305,275.94,229,351,23.74,6,6.2
Brashard Smith,KC,RB,RB84,293,277.71,156,338,26.20,5,2.9
Eli Stowers,PHI,TE,TE34,279,278.1,207,372,34.32,10,13.6
Andrei Iosivas,CIN,WR,WR109,308,278.45,176,351,34.32,6,2.8
Theo Johnson,NYG,TE,TE35,280,278.95,196,357,28.99,8,6.0
Mack Hollins,NE,WR,WR106,303,278.99,205,380,33.67,11,2.5
Kyle Williams,NE,WR,WR103,298,279.14,210,375,32.79,11,3.4
Kaleb Johnson,PIT,RB,RB85,294,279.53,164,360,32.57,9,4.4
Malik Davis,DAL,RB,RB82,287,279.83,184,358,27.51,14,1.8
Carolina Panthers,CAR,DEF,DST23,351,282.18,171,366,57.10,5,3.7
Charlie Smyth,NO,K,K18,312,282.63,201,363,39.82,8,2.7
Jahan Dotson,ATL,WR,WR111,323,283.88,149,384,54.88,11,2.5
Jake Tonges,SF,TE,TE38,313,285.9,173,345,30.43,8,8.1
Roman Hemby,LV,RB,RB132,466,286.0,279,293,7.00,13,0.0
Seth McGowan,IND,RB,RB89,299,286.33,189,337,31.31,13,2.3
Daniel Carlson,LV,K,K26,408,287.14,210,404,65.87,13,0.7
Adam Randall,BAL,RB,RB87,296,287.44,189,338,30.41,13,3.2
Hollywood Brown,PHI,WR,WR104,300,288.18,232,375,23.29,10,2.9
Las Vegas Raiders,LV,DEF,DST29,422,288.2,188,360,59.07,13,7.1
Tyler Bass,BUF,K,K20,358,288.9,193,409,52.01,7,8.1
Jalen Tolbert,MIA,WR,WR112,326,289.51,151,389,54.02,6,2.9
Michael Penix Jr.,ATL,QB,QB32,281,289.71,179,347,27.71,11,7.2
Skyler Bell,BUF,WR,WR108,307,289.97,223,384,30.96,7,6.9
Jake Elliott,PHI,K,K19,354,290.22,205,382,46.88,10,8.7
Kirk Cousins,LV,QB,QB33,285,290.46,179,349,29.79,13,7.3
Chad Ryland,ARI,K,K27,410,290.86,197,393,79.28,14,1.2
Kendre Miller,NO,RB,RB90,302,291.03,175,383,35.84,8,3.4
Emari Demercado,KC,RB,RB88,297,291.08,182,380,27.03,5,1.8
Zane Gonzalez,FA,K,K21,367,291.71,203,407,62.19,,2.0
Ryan Fitzgerald,CAR,K,K28,411,291.86,207,408,74.21,5,1.2
Brandon McManus,FA,K,K31,424,292.0,198,394,74.92,,0.7
Isaiah Bond,CLE,WR,WR107,304,292.0,220,397,30.85,11,1.5
Chris Brazzell II,CAR,WR,WR121,341,292.47,233,366,35.02,5,5.5
Devin Singletary,NYG,RB,RB86,295,293.33,225,365,21.46,8,0.9
Deshaun Watson,CLE,QB,QB34,288,293.53,242,348,25.11,11,9.5
Jerome Ford,WAS,RB,RB92,309,295.96,219,330,24.20,7,1.9
DeMario Douglas,NE,WR,WR113,327,297.15,176,423,51.57,11,3.2
Darnell Washington,PIT,TE,TE39,321,297.77,225,396,30.70,9,7.3
Shedeur Sanders,CLE,QB,QB35,292,298.81,214,350,26.83,11,8.9
Xavier Smith,LAR,WR,WR152,449,299.0,234,386,63.97,11,0.6
Khalil Herbert,FA,RB,RB118,435,299.75,246,378,50.59,,1.2
Oscar Delp,NO,TE,TE36,283,299.87,210,373,35.66,8,3.2
Washington Commanders,WAS,DEF,DST30,426,300.2,191,402,85.67,7,7.1
Kyle Juszczyk,SF,RB,RB109,394,301.1,197,364,63.00,8,0.9
