player_name,team,position,adp,ecr_rank,bye_week,player_id,games,fantasy_points,fantasy_points_ppr,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,completions,attempts,passing_yards,passing_tds,interceptions,snap_pct,value_score,ppg,rushing_ppg,snap_share,volume,efficiency,receiving_ppg,td_rate,position_rank,adp_position_rank,value_gap
Jalen McMillan,TB,WR,171.42,163,10.0,00-0039855,13.0,98.4,135.4,4.0,43.0,0.0,58.0,37.0,461.0,8.0,0.0,0.0,0.0,0.0,0.0,0.7221428571428571,0.49754169305936463,10.415384615384616,0.33076923076923076,0.7221428571428571,4.769230769230769,2.1838709677419357,10.084615384615384,0.12903225806451613,32,62,30
Calvin Ridley,TEN,WR,207.59,199,9.0,00-0034837,17.0,135.20000000000002,199.2,8.0,55.0,1.0,120.0,64.0,1017.0,4.0,0.0,0.0,0.0,0.0,0.0,0.8129411764705883,0.4800725731970214,11.835294117647058,0.6764705882352942,0.8129411764705883,7.529411764705882,1.571875,11.158823529411764,0.0390625,33,75,42
Jauan Jennings,MIN,WR,161.92,158,6.0,00-0036259,15.0,133.5,210.5,0.0,0.0,0.0,113.0,77.0,975.0,6.0,0.0,0.0,0.0,0.0,0.0,0.744,0.46946000595817494,14.033333333333333,0.0,0.744,7.533333333333333,1.8628318584070795,14.033333333333333,0.05309734513274336,34,59,25
Tyreek Hill,FA,WR,274.12,314,,00-0033040,17.0,137.2,218.2,8.0,53.0,0.0,122.0,81.0,959.0,6.0,0.0,0.0,0.0,0.0,0.0,0.7988235294117647,0.45780714471617756,12.83529411764706,0.311764705882353,0.7988235294117647,7.647058823529412,1.6784615384615387,12.523529411764706,0.046153846153846156,35,105,70
Jerry Jeudy,CLE,WR,165.37,159,11.0,00-0036407,17.0,150.9,240.9,0.0,0.0,0.0,145.0,90.0,1229.0,4.0,0.0,0.0,0.0,0.0,0.0,0.8970588235294118,0.4484647667936845,13.935294117647059,0.0,0.8970588235294118,8.529411764705882,1.633793103448276,13.935294117647059,0.027586206896551724,36,60,24
Rashod Bateman,BAL,WR,220.32,212,13.0,00-0036550,16.0,129.60000000000002,174.60000000000002,0.0,0.0,0.0,72.0,45.0,756.0,9.0,0.0,0.0,0.0,0.0,0.0,0.6763157894736842,0.4265680831283274,10.912500000000001,0.0,0.6763157894736842,4.5,2.4250000000000003,10.912500000000001,0.125,37,80,43
DK Metcalf,PIT,WR,79.06,77,9.0,00-0035640,15.0,125.2,191.2,0.0,0.0,0.0,108.0,66.0,992.0,5.0,0.0,0.0,0.0,0.0,0.0,0.86,0.4196353932243259,13.013333333333332,0.0,0.86,7.2,1.8074074074074074,13.013333333333332,0.046296296296296294,38,35,-3
Nick Westbrook-Ikhine,IND,WR,318.2,381,13.0,00-0036182,13.0,103.7,135.7,0.0,0.0,0.0,60.0,32.0,497.0,9.0,0.0,0.0,0.0,0.0,0.0,0.6994117647058824,0.4106811884810695,10.438461538461537,0.0,0.6994117647058824,4.615384615384615,2.2616666666666663,10.438461538461537,0.15,39,135,96
Darnell Mooney,NYG,WR,217.57,214,8.0,00-0036309,16.0,129.20000000000002,193.2,0.0,0.0,0.0,106.0,64.0,992.0,5.0,0.0,1.0,0.0,0.0,0.0,0.9275,0.38006549417144436,12.075,0.0,0.9275,6.625,1.822641509433962,12.075,0.04716981132075472,40,79,39
Alec Pierce,IND,WR,98.45,94,13.0,00-0037664,16.0,124.4,161.4,0.0,0.0,0.0,69.0,37.0,824.0,7.0,0.0,0.0,0.0,0.0,0.0,0.800625,0.3548543867221526,10.0875,0.0,0.800625,4.3125,2.339130434782609,10.0875,0.10144927536231885,41,41,0
